,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
58073,ECON360,00,지역도시경제론,2019,2학기,3.4,0.5,2.9,2.8,3.5,2.8,
58074,ECON354,00,재무경제학(영강),2019,2학기,3.8,0.0,3.7,3.5,1.4,3.8,
58075,ECON336,00,국제무역론(영강) 한국자료 등을 이용하기 때문에 교환학생은 수강 불가,2019,2학기,3.8,0.25,3.5,3.2,1.7,3.8,
58076,ECON335,02,국제금융론,2019,2학기,3.9,0.25,4.0,3.8,1.8,4.3,
58077,ECON335,01,국제금융론(영강) Kikuchi 교수님 강의예정,2019,2학기,2.6,0.0,3.4,3.6,1.3,2.8,
58078,ECON333,00,재정학(영강),2019,2학기,3.1,0.5,2.9,3.1,2.9,3.0,
58079,ECON332,00,한국현대경제사,2019,2학기,3.0,0.5,4.4,3.1,3.3,3.1,
58080,ECON324,00,전략과정보의경제학(영강),2019,2학기,3.8,0.25,3.6,3.6,1.6,3.8,
58081,ECON301,02,계량경제학I,2019,2학기,3.0,0.5,3.8,4.0,2.9,3.4,
58082,ECON301,01,계량경제학I(영강),2019,2학기,3.4,0.0,4.5,4.4,1.4,4.2,
58083,ECON244,00,노동시장론,2019,2학기,3.7,0.0,3.0,3.1,1.5,3.4,
58084,ECON240,00,산업조직론(영강),2019,2학기,3.4,0.25,3.3,3.4,1.8,3.1,
58085,ECON207,00,시장경제의이해,2019,2학기,2.9,0.75,3.5,2.9,4.5,2.7,
58086,ECON202,06,거시경제이론 선수과목:경제원론2,2019,2학기,3.3,0.25,3.6,3.7,2.0,3.6,
58087,ECON202,05,거시경제이론(영강) 선수과목:경제원론2,2019,2학기,3.9,0.25,2.8,2.4,1.7,2.5,
58088,ECON202,04,거시경제이론(영강) 선수과목:경제원론2,2019,2학기,3.1,0.5,3.3,2.9,3.0,2.6,
58089,ECON202,03,거시경제이론 선수과목:경제원론2,2019,2학기,3.2,0.0,3.8,3.8,1.4,3.0,
58090,ECON202,02,거시경제이론 선수과목:경제원론2,2019,2학기,3.9,0.25,4.0,3.7,1.6,4.1,
58091,ECON202,01,거시경제이론 선수과목:경제원론2,2019,2학기,4.0,0.25,4.5,4.1,2.4,4.4,
58092,ECON201,04,미시경제이론 선수과목:경제원론1,2019,2학기,3.6,1.0,3.4,3.1,4.6,3.7,
58093,ECON201,03,미시경제이론(영강) 선수과목:경제원론1,2019,2학기,4.2,0.25,4.0,3.9,1.6,4.2,
58094,ECON201,02,미시경제이론(영강) 선수과목:경제원론1,2019,2학기,3.3,0.25,3.3,3.8,1.7,3.8,
58095,ECON201,01,미시경제이론(영강) 선수과목:경제원론1,2019,2학기,3.5,0.0,3.2,3.3,1.4,3.1,
58096,ECON174,03,경제의통계분석(영강) 강의실변경:정경관503호,2019,2학기,3.9,0.0,2.8,2.8,1.5,3.2,
58097,ECON174,02,경제의통계분석(영강),2019,2학기,3.8,0.25,3.1,3.2,1.5,3.5,
58098,ECON174,01,경제의통계분석(영강),2019,2학기,3.7,0.25,4.0,4.2,1.5,3.8,
58099,ECON173,02,경제수학,2019,2학기,2.7,0.0,4.0,4.0,1.3,3.4,
58100,ECON173,01,경제수학(영강),2019,2학기,4.1,0.25,3.9,3.9,1.5,4.0,
58101,ECON172,06,경제원론II(영강) 경영학과 전공생만 수강신청 가능,2019,2학기,2.8,0.5,3.3,3.0,2.7,2.1,
58102,ECON172,05,경제원론II 경영학과 전공생만 수강신청 가능,2019,2학기,2.7,0.5,2.5,2.4,3.0,2.8,
58103,ECON172,04,경제원론II 경영학과 전공생만 수강신청 가능,2019,2학기,3.6,0.25,3.3,3.0,1.9,3.2,
58104,ECON172,03,경제원론II,2019,2학기,3.8,0.5,3.5,3.5,2.8,3.7,
58105,ECON172,02,경제원론II(영강),2019,2학기,3.6,0.0,2.6,2.2,1.3,2.3,
58106,ECON172,01,경제원론II,2019,2학기,3.0,0.75,2.5,2.1,4.4,2.3,
58107,ECON171,03,경제원론I(영강),2019,2학기,3.8,0.25,3.0,2.8,2.0,3.3,
58108,ECON171,02,경제원론I,2019,2학기,3.6,0.25,4.0,4.1,1.9,3.9,
58109,ECON171,01,경제원론I,2019,2학기,3.6,0.25,4.1,4.0,2.4,3.8,
58111,CHEM461,00,고분자화학I(영강),2019,2학기,2.8,0.0,3.6,3.2,1.3,3.0,
58113,CHEM455,00,유기합성화학,2019,2학기,4.3,0.5,4.6,4.6,3.0,4.6,
58114,CHEM452,00,계산화학,2019,2학기,4.4,1.0,3.6,3.9,4.5,4.0,
58115,CHEM328,00,생화학Ⅱ,2019,2학기,3.4,1.0,4.0,3.4,5.0,3.8,
58116,CHEM326,00,기기분석(영강),2019,2학기,2.9,1.0,4.3,4.0,4.8,3.1,
58118,CHEM308,00,무기화학Ⅱ,2019,2학기,3.4,1.0,4.4,4.3,4.6,3.5,
58120,CHEM214,02,유기화학실험,2019,2학기,4.5,1.0,3.7,3.5,4.9,4.5,
58122,CHEM208,00,분석화학II,2019,2학기,3.5,0.75,2.9,2.7,4.2,2.6,
58123,CHEM206,00,유기화학Ⅱ,2019,2학기,4.0,1.0,4.3,3.8,4.9,4.2,
58124,CHEM202,00,물리화학Ⅱ,2019,2학기,3.5,1.0,4.4,4.3,4.9,4.3,
58125,EAES418,00,오염조사/복원(영강),2019,2학기,4.0,1.0,2.6,2.6,5.0,4.2,
58127,EAES408,00,원격탐사/GIS,2019,2학기,3.5,0.5,3.4,2.8,3.3,3.6,
58128,EAES402,00,지질공학(영강),2019,2학기,4.0,0.75,3.6,3.4,4.4,3.6,
