ID,Class,Title,Year,Semester,Average Score,Attd_rate,avg_study,avg_diff,avg_performance,avg_satisfaction,recc_rate
JMCO387,00,"영상이론(영강)* 유사과목: JMCO225 영상미학이론 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.0,매번함,4.1,3.6,4.2,3.8,47.8%
JMCO385,00,"미디어비평(영강)* 유사과목: JMCO227 방송영화비평 * 수강대상: 3학년 또는 2023년 1학기가 5학기째인 등록자만 수강가능 / 미디어학부생 (이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생",2023,1학기,3.1,자주함,2.6,2.7,2.5,2.5,15.8%
JMCO384,00,"미디어제작기획* 유사과목: JMCO367 영화기획제작 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,3.8,매번함,3.5,3.8,3.7,3.9,31.6%
JMCO379,00,"미디어산업과융합* 유사과목: JMCO351 미디어산업론 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 타과생은 전체정정기간에 신청 가능",2023,1학기,3.4,매번함,3.4,2.5,2.5,2.8,21.4%
JMCO374,00,"디지털미디어와민주주의프로젝트* 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 타과생은 전체정정기간에 신청 가능",2023,1학기,4.5,자주함,4.3,3.9,4.7,4.3,51.9%
JMCO363,00,"미디어효과이론(영강)* 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생, 학생설계전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.1,매번함,4.3,3.3,4.3,3.3,42.9%
JMCO362,00,"미디어경영(영강)* 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 타과생은 전체정정기간에 신청 가능",2023,1학기,4.0,종종함,4.2,3.3,3.8,3.5,27.3%
JMCO277,03,"저널리즘글쓰기* 2004~2017학번까지 적용 전공필수 * 유사과목: JMCO204 미디어글쓰기 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,4.8,자주함,2.8,2.4,3.4,4.0,87.5%
JMCO277,02,"저널리즘글쓰기* 2004~2017학번까지 적용 전공필수 * 유사과목: JMCO204 미디어글쓰기 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,4.8,자주함,3.0,2.5,3.2,4.4,81.0%
JMCO277,01,"저널리즘글쓰기* 2004~2017학번까지 적용 전공필수 * 유사과목: JMCO204 미디어글쓰기 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,3.8,자주함,1.9,2.0,2.0,2.6,42.9%
JMCO275,02,"영상콘텐츠기초제작실습* 유사과목: JMCO348 방송영화기초제작실습 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,4.9,매번함,1.5,1.5,4.0,3.3,66.7%
JMCO275,01,"영상콘텐츠기초제작실습* 유사과목: JMCO348 방송영화기초제작실습 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터 신청 가능",2023,1학기,4.8,매번함,4.5,4.5,4.4,5.0,84.6%
JMCO269,00,"미디어경제* 유사과목: JMCO373 미디어경제 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생, 학생설계전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.0,거의안함,4.5,4.4,4.5,4.1,57.5%
JMCO267,00,"광고의이해(영강)* 유사과목: JMCO237 광고관리론 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) /융합전공생, 학생설계전공생은 정정기간부터/ 타과생은 전체정정기간에 신청 가능",2023,1학기,4.0,종종함,3.9,2.8,4.2,3.4,41.2%
JMCO262,00,"미디어와젠더(영강)* 유사과목: JMCO243 여성과미디어 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,3.6,자주함,3.9,3.4,3.3,3.2,31.3%
JMCO259,00,"다문화사회와미디어(영강)* 유사과목: JMCO355 다문화사회와미디어 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,3.5,매번함,3.5,3.2,3.3,3.2,9.1%
JMCO257,00,"한국의문화와미디어(영강)* 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.4,매번함,3.5,3.0,4.4,3.4,64.3%
JMCO253,00,"저널리즘의이해* 유사과목: JMCO211 저널리즘 * 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 학생설계전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.4,자주함,3.0,3.0,4.3,4.0,50.0%
JMCO252,00,"미디어테크놀로지와문화(영강)* 수강대상: 미디어학부(이중,부전공,복수전공), 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,3.9,종종함,3.8,3.3,3.4,3.3,41.5%
JMCO248,00,"미디어데이터사이언스입문 T* 수강대상: 미디어학부(이중,부전공,복수전공) / 융합전공생, 학생설계전공생은 정정기간부터 신청 가능 / 적정수준의 한국어 능력 필수",2023,1학기,2.9,자주함,3.1,2.7,2.3,2.1,7.0%
JMCO247,02,"창의적미디어기획과표현(영강) T* 수강대상: 미디어학부(이중,부전공,복수전공) 중 끝자리 짝수 학번",2023,1학기,4.5,자주함,2.5,2.5,4.4,3.5,70.6%
JMCO247,01,"창의적미디어기획과표현* 수강대상: 미디어학부(이중,부전공,복수전공) 중 끝자리 홀수 학번",2023,1학기,3.1,종종함,2.5,3.0,2.9,2.8,14.3%
JMCO203,02,"미디어학입문(영강)* 수강대상: 미디어학부생(이중,부전공,복수전공 포함) / 융합전공생은 정정기간부터, 타과생은 전체정정기간에 신청 가능",2023,1학기,4.3,자주함,2.7,2.5,3.7,3.2,51.9%
JMCO203,01,미디어학입문* 수강대상: 미디어학부 1학년만 신청 가능,2023,1학기,4.0,자주함,3.0,3.1,3.9,3.3,35.5%
HANM361,00,논어읽기강의실: 서관 B110,2023,1학기,4.3,매번함,2.4,2.7,3.7,3.2,53.3%
HANM259,00,한시의세계,2023,1학기,4.4,자주함,4.0,4.0,4.6,4.3,57.1%
HANM257,00,한문학과문화유산,2023,1학기,4.7,매번함,2.7,2.4,3.9,3.6,81.3%
HANM253,00,한자의이해강의실: 서관 B110,2023,1학기,4.5,매번함,3.6,3.5,4.0,3.7,64.3%
